0,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,Units
perc_Carb,108,1.461744348817778,0.35823562779030543,0.4341949505822687,Derived,,UNKNOWN,UNKNOWN
NPOC_Field_mg_per_L_as_C,102,1.38669737413903,0.4335871511667474,0.3998113536902535,Derived,,UNKNOWN,UNKNOWN
N_percent,12,1.3849446919933621,0.5348231301931957,0.5021785925129421,Derived,,UNKNOWN,UNKNOWN
C_percent,11,1.3849446919933621,0.5348231301931957,0.5021785925129421,Derived,,UNKNOWN,UNKNOWN
delGd0,53,1.3805803071236766,0.320821373509703,0.2155184207353106,Derived,,UNKNOWN,UNKNOWN
delGd,52,1.3805803071236766,0.320821373509703,0.2155184207353106,Derived,,UNKNOWN,UNKNOWN
lamO20,51,1.3805803071236766,0.320821373509703,0.2155184207353106,Derived,,UNKNOWN,UNKNOWN
lamO2,50,1.3805803071236766,0.320821373509703,0.2155184207353106,Derived,,UNKNOWN,UNKNOWN
Percent_Fine_Sand,118,1.2575356425718478,0.2329770536143463,0.2031063448852764,WHONDRS,percent,Percent fine sand (less than 250 micrometers and greater than 53 micrometers). ,nan
nli_ix_cav,65,1.2273201382970815,0.45233610581689776,0.2234907504420072,RiverAtlas,index,Avg. night time lights over reach catchment,nan
hft_ix_c09,66,1.2273201382970815,0.45233610581689776,0.2234907504420072,RiverAtlas,index,Human footprint index over reach catchment,nan
Percent_Tot_Sand,100,1.2217118413060821,0.49337578758522127,0.3833418869569647,WHONDRS,percent,Percent total sand (calculated from sum of fine; medium; and coarse sand).,nan
nli_ix_uav,70,1.2173662738392939,0.653815473769144,0.2998777786653435,RiverAtlas,index,Avg. night time lights over all upstream watershed,nan
hft_ix_u09,71,1.2173662738392939,0.653815473769144,0.2998777786653435,RiverAtlas,index,Human footprint index over all upstream watershed,nan
General_Vegetation,1,1.1516748798683107,0.3809506074487908,0.1951213920889175,WHONDRS,,General vegetation type from provided controlled vocabulary during sediment sampling. From provided controlled vocabulary with the option to select up to 2 if mixed.,nan
RA_ms_di,38,1.138392417837499,0.34578618539575123,0.2351285626256613,RiverAtlas,m/s,Range between annual min and max avg. stream speed,nan
NPOC_INC_mg_per_L_as_C,115,1.1128996691716397,0.13034142840772467,0.2138693565914134,Derived,,UNKNOWN,UNKNOWN
gwt_cm_cav,77,1.097650390825377,0.2281334749407559,0.1459427227680335,RiverAtlas,cm,Mean ground water table depth over reach catchment,nan
RA_ms_av,47,1.093407420423133,0.1513492887336624,0.1102462264457716,RiverAtlas,m/s,Annual avg. stream speed,nan
prm_pc_use,99,1.0905342686326005,0.14762034973405821,0.1455667774331927,RiverAtlas,percent,Permafrost extent over all upstream watershed,nan
prm_pc_cse,98,1.0905342686326005,0.14762034973405821,0.1455667774331927,RiverAtlas,percent,Permafrost extent over reach catchment,nan
delGcoxPerCmol,57,1.0799898627406697,0.17868034561789356,0.1526099753793897,Derived,,UNKNOWN,UNKNOWN
NOSC,56,1.0799898627406697,0.17868034561789356,0.1526099753793897,Derived,,UNKNOWN,UNKNOWN
delGcox0PerCmol,54,1.0799898627406697,0.17868034561789356,0.1526099753793897,Derived,,UNKNOWN,UNKNOWN
GFE,55,1.0799898627406697,0.17868034561789356,0.1526099753793897,Derived,,UNKNOWN,UNKNOWN
Total_Photorophs_cells_per_gram,124,1.0745622435376925,0.06969778122377192,0.0723136980895839,Derived,,UNKNOWN,UNKNOWN
dist_m,125,1.0642870103901,0.1233578837573794,0.1182734392145044,RiverAtlas,m,Distance between RA site and obs/GLORICH site,nan
urb_pc_cse,67,1.0613666028153799,0.06647900361157198,0.1204580899681601,RiverAtlas,percent,Urbanization extent over reach catchment,nan
run_mm_cyr,87,1.0469034134674682,0.14048415231749792,0.1575534900870664,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,nan
RA_lm,10,1.0442867516921557,0.1281820279481539,0.0671392341330137,RiverAtlas,m,Avg. length of reach direct from RA,nan
my_lm,9,1.0442867516921557,0.1281820279481539,0.0671392341330137,RiverAtlas,m,Est. length of reach based on available RA coordinates,nan
Total_Heterotrophs_cells_per_gram,8,1.0436236050888703,0.15853464128492403,0.0740201028042667,Derived,,UNKNOWN,UNKNOWN
Total_Bacteria_cells_per_gram,7,1.0436236050888703,0.15853464128492403,0.0740201028042667,Derived,,UNKNOWN,UNKNOWN
perc_Tannin,60,1.0436089706578278,0.10718040992672892,0.0966511296402097,Derived,,UNKNOWN,UNKNOWN
Depositional_Type,4,1.0422629790944902,0.15180170281317545,0.2173083503416826,WHONDRS,,Depositional zone type. From provided controlled vocabulary with option to write in other terms.,nan
crp_pc_use,23,1.0408244119185985,0.13706446058231578,0.1146858889419761,RiverAtlas,percent,Cropland extent over all upstream watershed,nan
Mean_Temp_Deg_C,97,1.0364256335849884,0.13981068901452082,0.0829262030553097,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,nan
perc_Lignin,62,1.0361728908063674,0.17043416561864136,0.0662462028413203,Derived,,UNKNOWN,UNKNOWN
Canopy_Cover,113,1.0356000798867024,0.07877126735079804,0.1018183689228926,WHONDRS,,Estimated canopy coverage over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: full; partial; or no coverage.,nan
RA_SO,37,1.0354055724176383,0.11825678334540235,0.1743294405867295,RiverAtlas,non-dim.,Stream order,nan
Water_Depth_cm,110,1.0352015967496713,0.07716301270332651,0.1532102929506449,WHONDRS,centimeters,Vertical distance between water surface and bed of sampling location.,nan
Hydrogeomorphology,3,1.0351843888536503,0.1300788646630326,0.0723352119337129,WHONDRS,,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,nan
slt_pc_uav,28,1.032871010839274,0.14567834957745854,0.1305873259914332,RiverAtlas,percent,Silt fraction in soil over all upstream catchment,nan
