0,ID,Importance,std(importance),Source,Unit,Definition
General_Vegetation,0,1.0319454256340608,0.3109664384416894,WH,,General vegetation type from provided controlled vocabulary during sediment sampling. From provided controlled vocabulary with the option to select up to 2 if mixed.
MiniDot_Sediment,1,1.1310193108171585,0.3763415877828518,WH,classification,Type of sediment observed at site
Depositional_Type,2,1.0462599604917193,0.24670872277844544,WH,,Depositional zone type. From provided controlled vocabulary with option to write in other terms.
Hydrogeomorphology,3,0.9466433764753198,0.131192835885303,WH,,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.
Intermittent_or_Perennial,4,0.9696022097006702,0.03464904052691736,WH,,Indicator of if the stream is intermittent or perennial.
River_Gradient,5,1.2221388635308084,0.5134153787306455,WH,,General gradient of river. One of the following classes may be selected: relatively flat/gentle gradient (e.g.; valleys) or relatively steep gradient (e.g.; mountainous or hilly terrain).
gla_pc_cse,6,0.9980571844548283,0.0020240212233660322,RA,percent,Glacier extent over reach catchment
Total_Heterotrophs_cells_per_gram,7,0.9936249255250832,0.2164031670730204,WH,cells_per_gram,Total heterotrophic bacteria. Calculated by subtracting total phototrophic bacteria from total bacteria prior to rounding.
Total_Bacteria_cells_per_gram,8,0.9936249255250832,0.2164031670730204,WH,cells_per_gram,Total bacteria (rounded)
my_lm,9,0.9526032460588256,0.15518978050046636,RA,m,Est. length of reach based on available RA coordinates
RA_lm,10,0.9526032460588256,0.15518978050046636,RA,m,Avg. length of reach direct from RA
C_percent,11,1.1288407815008759,0.28972942944066477,WH,percent,Percent total organic carbon in < 2 millimeter sediment samples (61033 US Geological Survey parameter)
N_percent,12,1.1288407815008759,0.28972942944066477,WH,percent,Percent total nitrogen in < 2 millimeter sediment samples (01472 US Geological Survey parameter)
soc_th_uav,13,0.9801938221695842,0.1454736396632545,RA,tonnes/ha,Avg. organic carbon content in soli over all upstream watershed
soc_th_cav,14,0.9801938221695842,0.1454736396632545,RA,tonnes/ha,Avg. organic carbon content in soil over reach catchment
pac_pc_cse,15,0.9330415974426352,0.09951252322550777,RA,percent,Protected area extent over reach catchment
pac_pc_use,16,0.9330415974426352,0.09951252322550777,RA,percent,Protected area extent over all upstream catchment
ero_kh_uav,17,0.9631319550028501,0.14284957528346431,RA,kg/ha/yr,Avg. soil erosion rater over all upstream watershed
ero_kh_cav,18,0.9631319550028501,0.14284957528346431,RA,kg/ha/yr,Avg. soil erosion rate over reach catchment
kar_pc_cse,19,1.0238398352544753,0.34482890357641216,RA,percent,Karst areal extent over reach catchment
kar_pc_use,20,1.0238398352544753,0.34482890357641216,RA,percent,Karst areal extent over all upstream watershed
Mean_DO_mg_per_L,21,0.9457588949676415,0.16169329763185708,WH,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.
Mean_DO_percent_saturation,22,0.9811627621599003,0.13328517221536293,WH,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.
crp_pc_cse,23,0.946175267272072,0.13001038353310337,RA,percent,Cropland extent over reach catchment
crp_pc_use,24,0.9939093488881008,0.16585535334431442,RA,percent,Cropland extent over all upstream watershed
slt_pc_uav,25,0.9484901149377178,0.24158887406732976,RA,percent,Silt fraction in soil over all upstream catchment
